,name,wdpa_id,mpa_id,date,calculated_marine_area,reported_marine_area,geography_area,mmsi,in_pre,out_pre,in_post,out_post,in_pre_p,in_post_p,decrease
71,Phoenix Island Protected Area,555512002,0,2015-01-01,408258.0,408145.0,408397.0,127.0,134117.9046,1399681.6879,816.3618,2723075.4257,0.08744160922705423,0.00029970419667414927,0.9965725219455199
91,Palau,555622118,68807606,2020-01-01,503521.0,502538.0,105018.0,82.0,256131.6114,307587.537,24039.2755,109045.5966,0.45436031776989744,0.18063116506537935,0.6024495141830217
122,Ross Sea Region [General Protection Zone (ii) Seamount Range],555624810,68813307,2017-12-01,74472.0,74765.0,21102.0,21.0,13532.5229,305762.4303,2454.3765000000003,161284.8583,0.04238251423762247,0.014989544216436024,0.6463271590638675
9,Ross Sea Region [General Protection Zone (i) Ross Sea shelf/slope and Balleny Islands],555624810,9047,2017-12-01,973704.0,1555851.0,21102.0,21.0,13532.5229,305762.4303,2454.3765000000003,161284.8583,0.04238251423762247,0.014989544216436024,0.6463271590638675
46,Ross Sea Region [General Protection Zone (iii) Scott Seamount],555624810,68813308,2017-12-01,22643.0,21098.0,21102.0,21.0,13532.5229,305762.4303,2454.3765000000003,161284.8583,0.04238251423762247,0.014989544216436024,0.6463271590638675
2,Coral Sea - National Park Zone,555556875,68808920,2018-07-01,239755.0,238399.0,66480.0,16.0,27370.0224,80868.9934,14533.4056,48222.1938,0.25286651211401723,0.2315873920248143,0.08415159410119204
109,Terres Australes Françaises [Strict Marine Protection Zone],345888,68808359,2016-12-16,120378.0,120250.0,988520.0,12.0,79932.269,4948.1997,56491.7869,6797.991,0.9417039069672338,0.8925894318867565,0.05215490210574883
33,Central Eastern - National Park Zone,555556874,14986,2018-07-01,8135.0,8109.0,608.0,11.0,5113.661599999999,74501.5139,3085.8355,47062.8631,0.06422973469423551,0.06153371046801202,0.04197470593733361
29,Revillagigedo - Zona Núcleo/Uso Restringido Turismo,555629385,68817262,2018-11-30,0.0,402.69,406.0,9.0,1490.9927,56549.9553,0.3849,27407.2635,0.025688634513688507,1.4043525164311433e-05,0.9994533175690272
25,Revillagigedo - Zona Núcleo/Uso Restringido Investigación,555629385,68813451,2018-11-30,148628.0,147529.0,406.0,9.0,1490.9927,56549.9553,0.3849,27407.2635,0.025688634513688507,1.4043525164311433e-05,0.9994533175690272
118,Moana Mahu,0,68808405,2020-05-01,0.0,127000.0,126633.0,8.0,2337.7116,139672.3721,0.0,19731.1415,0.016461588776600374,0.0,1.0
0,Niue Moana Mahu Marine Protected Area,555705568,68819192,2020,129186.0,127000.0,129370.0,8.0,2376.776,133291.5815,23.6489,26049.2188,0.017519015073208945,0.0009070310282746535,0.9482259119885263
40,Papahānaumokuākea 2016 Expansion,0,68808390,2016,0.0,0.0,1146553.0,7.0,348.2169,13699.237799999999,1123.4090999999999,84856.5912,0.024788611704866365,0.013065935055596875,0.4729057354578739
123,Lord Howe - National Park Zone,555556890,15002,2018-07-01,9301.0,9272.0,1170.0,5.0,1601.0324,47332.9452,827.1143,29298.0605,0.03271821500159432,0.02745591703587393,0.16083695169384893
78,Abrolhos - National Park Zone,555556866,14978,2018-07-01,2557.0,2547.0,56544.0,4.0,66.8907,2137.6130000000003,982.9238,8432.0865,0.030342747893777628,0.10439965211721543,-2.440678889159693
96,"Monumento Natural Das Ilhas de Trindade, Martim Vaz e Do Monte Columbia",555635929,68808474,2018-03-19,67989.0,67679.0,67683.0,4.0,534.8012,5873.033299999999,1058.9712,20973.8343,0.08346052008677816,0.04806338439287725,0.42411832153809614
26,Kimberley - National Park Zone,555556888,15000,2018-07-01,6429.0,6392.0,62411.0,4.0,3268.3509000000004,35279.4231,570.1704,25286.8573,0.0847870203867025,0.022050887155912354,0.7399261460617303
113,Jurien - National Park Zone,555556887,14999,2018-07-01,30.0,30.0,1820.0,3.0,179.73440000000002,2505.9961000000003,157.2263,3904.8455000000004,0.06692197895507386,0.03870593818651852,0.42162591736113136
103,Argo-Rowley Terrace - National Park Zone,555556868,14980,2018-07-01,36263.0,36050.0,1140.0,2.0,1477.722,18000.889900000002,496.4541,12647.7117,0.07586382477285251,0.037769920705047706,0.5021352954700554
51,Prince Edward Islands - Sanctuary Zone,555512160,68808363,2013,0.0,0.0,113149.0,2.0,1144.2299,7276.0788,4645.2478,50161.543099999995,0.13588930534102628,0.08475679242880102,0.37628062623400477
62,Two Rocks - National Park Zone,555556904,15016,2018-07-01,15.0,15.0,866.0,2.0,94.7186,308.9468,136.4377,697.9024,0.2346463184607846,0.16352767894051842,0.3030886654722943
88,Great Australian Bight - National Park Zone,555556882,68808973,2018-07-01,7750.0,7727.0,11654.0,2.0,74.9623,14367.387299999999,63.4109,21035.9866,0.005190450451358691,0.0030053417402084587,0.4209863347367553
97,South-west Corner - National Park Zone,555556901,15013,2018-07-01,54958.0,54841.0,9549.0,2.0,537.0355,3402.6409,249.4303,6346.8044,0.13631462218572063,0.03781404260827772,0.7225973119981338
32,Galápagos,0,68808176,2016,47128.4958267,47000.0,47199.0,1.0,0.0,0.0,59.2542,801.3796,0.0,0.06884949208362488,0.0
55,Freycinet - Marine National Park Zone,354083,5147,2013-07-01,56830.0,56792.0,825.0,1.0,0.0,186.9587,36.0623,1895.5697,0.0,0.018669342814780453,-inf
13,Oceanic Shoals - National Park Zone,555556896,68808954,2018-07-01,0.0,0.0,64408.0,1.0,1143.151,12210.1407,257.2517,2233.3214,0.08560818004147996,0.1032901624128198,-0.20654547687817137
106,Murray - National Park Zone,354087,5151,2013-07-01,12769.0,12749.0,7147.0,1.0,0.0,0.0,13.0214,1160.6793,0.0,0.011094310500113018,0.0
10,West Cape York - National Park Zone,555556906,15018,2018-07-01,3350.0,3329.0,2568.0,1.0,3.6481,5847.2616,0.0,8564.3464,0.0006235098791560567,0.0,1.0
80,Norfolk - National Park Zone,555556895,15007,2018-07-01,41827.0,41660.0,7986.0,1.0,14.7159,6718.972,0.0,14311.8954,0.002185414622498319,0.0,1.0
14,Natural Park of the Coral Sea - Nature Reserve,0,68817259,2018-08-01,21494.9082275,0.0,21495.0,1.0,44.7153,15673.5501,0.0,7096.6639,0.002844798637895502,0.0,1.0
89,Khor Al Muzahmi,555703534,68819059,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Batemans,555548008,68818526,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Tierra Blanca,555626061,68808633,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Murat - National Park Zone,555556893,15005,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Mahigo Mbate,0,68817249,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Al Saadyat Marine National Park,555622081,68812849,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Hautai,555600301,68812821,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Guindziwe,0,68817255,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Southwest,126987,68808749,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Dampier,555556876,14988,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Lobería Selkirk,555626059,68808632,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Bird Island (Ile aux Vaches) (Marine) National Park,555703724,68819068,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Gulf of Carpentaria - Special Purpose Zone (Trawl),555556883,14995,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Amirantes South (Marine) National Park,555703723,68819067,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Western Kangaroo Island - Special Purpose Zone (Mining Exclusion),555556908,15020,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Mermaid Reef - National Park Zone,555556891,15003,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Laurentian Channel (Zone 2),0,68813335,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Marmion - Waterman Recreational Area,555576595,68808874,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Parque Nacional De Jericoacoara,351774,4916,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,D'Arros Atoll (Marine) National Park,555703725,68819069,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Flinders - Multiple Use Zone,354081,5145,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,El Arenal,555626058,68808631,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Cod Grounds - National Park Zone,354079,7705143,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Lundy [no-take zone],555559203,68808742,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Marragane,0,68817254,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Parque Estadual Do Prelado,478591,5296,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Moutere Hauriri / Bounty Islands,555566861,15146,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Bremer - Special Purpose Zone (Mining Exclusion),555556871,14983,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Two Foot Bay Sanctuary,0,9392,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Port Stephens - Great Lakes,555548201,68808830,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Kahurangi,0,68808124,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Nha Dzi Sectori,0,68817248,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Namuncurá - Banco Burdwood [Transition Zone],555558346,68813320,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Low Bay Sanctuary,555587197,68812526,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Jebel Ali Wetland Sanctuary,555703541,68819060,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Monumento Natural Do Arquipélago De São Pedro E São Paulo,555635928,68808475,2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,D'Arros to Poivre Atolls (Marine) National Park,555703726,68819070,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Pitcairn Islands,555624172,9178,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Ras Ghanada Marine Protected Area,555622079,68812848,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Bul Syayeef Marine Protected Area,555624691,68813087,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Hikurangi,0,9250,2014-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kahurangi,555600299,68812819,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Lebyazh`i ostrova,555714969,68819355,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Geographe,555556880,68808937,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Guilalene,0,68817252,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Marrambone,0,68817250,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Hikurangi,555600300,68812820,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Punakaiki,555600302,68812822,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Goat Island Flash Sanctuary,0,9396,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Ko Kam Yai Marine Fisheries Reserved Area,555705576,68819199,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Perth Canyon - Multiple Use Zone,555556897,15009,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Jazirat Sir Bo Na'air Protected Area,555592552,68812642,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Moutere Mahue / Antipodes Island,555566860,15145,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Gwaii Haanas - Restricted Access Zone,555512150,68813319,2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Hautai,0,68808123,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Akaroa,555600298,68812818,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Macquarie Island - Habitat Protection Zone,354086,7705150,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Punakaiki,0,68808125,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Twilight,555556903,68808480,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Al Zorah,555625658,68813123,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Solitary Islands - Special Purpose Zone (Trawl),555556900,15012,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Solitary Islands,64056,68808915,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Tasman Fracture - Multiple Use Zone,354090,68808373,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Banc-des-Américains (Zone 1),0,68813329,2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Montes submarinos Crusoe y Selkirk,555626056,68808630,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Park of the Coral Sea - Wilderness Areas,0,68817258,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Bul Syayeef Marine Protected Area,555637327,68813242,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Twilight,555556903,15015,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Palaster Reef Sanctuary,555587195,9395,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Western Eyre - Special Purpose Zone (Trawl),555556907,15019,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Gwaii Haanas - Restricted Access Zone,555512150,68813318,2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Tauparikākā,555600304,68812824,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Laurentian Channel (Zone 1),0,68813334,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Waiau Glacier Coast,0,68808127,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Tauparikākā,0,68808126,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Goat Point Sanctuary,555587196,68812525,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Waiau Glacier Coast,555600303,68812823,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Goat Point Sanctuary,0,9394,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Nazca-Desventuradas,555624169,9175,2015-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Mandzenika,0,68817247,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Russian Arctic (Franz Josef Land),0,9049,2016-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Marmion - Waterman Recreational Area,555576595,68808876,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Akaroa,0,9231,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Cape Falcon,0,9204,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Low Bay Sanctuary,0,9393,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Stellar Sea Lion,555655703,68817275,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Ponte Cais,0,68817253,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Gascoyne - Multiple Use Zone,555556879,14991,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Eastern Recherche - Special Purpose Zone,555556877,14989,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Namuncurá - Banco Burdwood [Transition Zone],555558346,9689,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Moutere Ihupuku / Campbell Island,555566859,15144,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Guidzvane,0,68817251,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Medvezh`i ostrova,555708108,68819267,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Mangrove and Alhafeya Protected Area in Khor Kalba,555558373,68812213,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ningaloo,555556894,15006,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Vostok Finskogo zaliva (Ingermanlandskij),555711347,68819294,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Two Foot Bay Sanctuary,555587198,68812527,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
