,mpa_id,wdpa_id,wdpa_pid,name,country,sovereign,designatio,designat_1,designat_2,iucn_categ,status,status_yea,is_mpa,implemente,implementa,no_take,no_take_ar,rep_m_area,calc_m_are,rep_area,calc_area,gov_type,mgmt_auth,mgmt_plan_,fishing,access,constancy,permanence,SHAPE_Leng,SHAPE_Area,geography_area,mmsi_count,in_pre,out_pre,in_post,out_post
98,68813462,555643544,555643544,Kawésqar,CHL,CHL,Reserva Nacional,National Reserve,National,Not Reported,Designated,2019,1,1,,Not Reported,0.0,26284.0,21394.0,26284.0,26193.0,Federal or national ministry or agency,Corporación Nacional Forestal (CONAF),Not Reported,Unknown,Unknown,Unknown,Unknown,451.92581741,3.4810336895,26346,0,0,0,0,0
99,5145,354081,354081_A,Flinders - Marine National Park Zone,AUS,AUS,Marine Park,Marine Park,National,II,Designated,2012,1,1,2013-07-01,All,25814.0,25814.0,25845.0,25814.0,25845.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,No,Yes,Year-round,Permanent,10.9552464504,2.72136779411,25814,0,0,0,0,0
100,68819058,555703527,555703527,Yarari,BES,NLD,Sanctuary,Sanctuary,National,Not Reported,Designated,2015,1,1,,None,0.0,25132.0,25112.0,25132.0,25112.0,Federal or national ministry or agency,Not specified.  Coast Guard is responsible for enforcement,In process,Unknown,Unknown,Unknown,Unknown,11.5820123116,2.09156898956,24868,0,0,0,0,0
101,68807889,0,,Yarari,NLD,NLD,Sanctuary,Sanctuary,International,,Designated,2015,0,1,2015-08-31,None,0.0,0.0,0.0,0.0,0.0,,,,Unknown,Unknown,Unknown,Unknown,11.2783141325,2.07266492129,24643,0,0,0,0,0
102,68808958,555556896,,Oceanic Shoals - Special Purpose Zone (Trawl),AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,24444.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,6.26922281556,2.02247099859,24444,1,687,12665,145,2345
103,68813140,555625732,555625732,Southeast Bahamas Marine Managed Area,BHS,BHS,Marine Managed Area,Marine Managed Area,National,Not Reported,Designated,2015,1,1,,Not Reported,0.0,0.0,24449.0,24527.0,24458.0,Not Reported,Not Yet Designated,Not Reported,Unknown,Unknown,Unknown,Unknown,7.82624875406,2.14309685047,24345,0,0,0,0,0
104,68808977,555556907,,Western Eyre - Special Purpose Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,24196.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,10.6889321236,2.35363511586,24196,0,0,0,0,0
105,68808392,555626055,555626055,Mar de Juan Fernández,CHL,CHL,Área Marina Costera Protegida de Múltiples Usos,Coastal Marine Protected Area of Multiple Uses,National,IV,Designated,2017,1,1,,Not Reported,0.0,24000.0,23941.0,24000.0,24006.0,Federal or national ministry or agency,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,12.024406557,2.33165452497,24002,0,0,0,0,0
106,68808366,555547601,,South Georgia and South Sandwich Islands [Benthic Closed Areas],SGS,GBR,Marine Protected Area,Marine Protected Area,National,,Designated,2012,0,1,,None,0.0,12662.0,0.0,0.0,0.0,Federal or national ministry or agency in charge,Government of South Georgia and South Sandwich Islands (GSGSSI),http://www.gov.gs/docsarchive/Environment/Marine%20Protected%20Area/MPA%20Management%20Plan%20v2.0.pdf,Some Restrictions,Yes,Year-round,Unknown,21.612552256,3.19841343204,23704,3,0,0,415,49727
107,68810293,555560485,555560485,North-East Faroe-Shetland Channel,GBR,GBR,Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,National,Not Reported,Designated,2014,1,1,,Not Reported,0.0,0.0,23616.0,23747.0,23618.0,Federal or national ministry or agency,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,9.28515031993,4.13513167848,23631,25,222,57614,4681,370470
108,68810538,555583056,555583056,North-east Faroe-Shetland Channel,GBR,GBR,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Designated,2014,1,1,,Not Reported,0.0,23682.0,23587.0,23682.0,23613.0,Collaborative governance,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,Unknown,Unknown,Unknown,Unknown,9.28380442856,4.13399057926,23625,25,222,57614,4681,370470
109,68808839,555556866,555556866_B,Abrolhos - Habitat Protection Zone,AUS,AUS,Marine Park,Marine Park,National,IV,Designated,2018,1,1,2018-07-01,None,0.0,23238.0,23338.0,23238.0,23338.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,5.84255228972,2.08292519213,23238,1,0,164,178,6418
110,68808971,555556882,555556882_B,Great Australian Bight - Multiple Use Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2018,1,1,2018-07-01,None,0.0,0.0,0.0,22578.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,8.29547498729,2.23084134662,22578,0,0,0,0,0
111,68813321,555558346,,Namuncurá - Banco Burdwood [Transition Zone],ARG,ARG,Área Marina Protegida,Marine Protected Area,National,,Designated,2013,1,1,,None,0.0,0.0,0.0,0.0,0.0,,,,Some Restrictions,Unknown,Unknown,Unknown,18.8500461808,3.0792808645,22289,1,0,537,21,34590
112,68808372,354090,,Tasman Fracture - Special Purpose Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2013-07-01,None,0.0,21313.0,0.0,42501.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Some Restrictions,Restricted,Year-round,Permanent,7.85770581423,2.45652475524,21312,0,0,0,0,0
113,68813308,555624810,555624810_C,Ross Sea Region [General Protection Zone (iii) Scott Seamount],ABNJ,ABNJ,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),International,Not Reported,Designated,2017,1,1,2017-12-01,All,21098.0,21098.0,22643.0,21098.0,22644.0,Joint governance,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,No,Unknown,Unknown,Permanent,13.0,4.5,21102,2,31,14027,322,11117
114,5498,555512239,555512239,Milne Seamount Complex MPA,ABNJ,ABNJ,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Designated,2010,1,1,,Not Reported,0.0,20913.0,20915.0,20913.0,20915.0,Collaborative governance,OSPAR Commission/Contracting Parties; other Cas,Not Reported,Yes,Yes,Unknown,Unknown,6.481933593,2.37608849958,20913,14,0,0,2960,468590
115,68808779,354090,354090_B,Tasman Fracture - Multiple Use Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2013-07-01,None,0.0,41808.0,41810.0,41808.0,41810.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,7.03327855697,2.30184965142,20495,1,0,0,2,2121
116,68808855,555556883,555556883_B,Gulf of Carpentaria - Special Purpose Zone (Trawl),AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2018,1,1,2018-07-01,None,0.0,20147.0,20263.0,20147.0,20263.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,9.1822114115,1.70029513113,20147,0,0,0,0,0
117,68818540,555569948,555569948,Dakhla National Park,ESH,MAR,Parc National,National Park,National,II,Proposed,2014,1,1,,Not Reported,0.0,3788.0,3660.0,19968.0,20065.0,Federal or national ministry or agency,Department of Water and Forests,Existing,Unknown,Unknown,Unknown,Unknown,9.33136013153,1.74909956256,19969,1,0,0,15,18468
118,68812521,555587168,555587168,Valdés,ARG,ARG,Reserva de la Biósfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,2014,0,1,,Not Reported,0.0,0.0,10117.0,21379.0,19492.0,Not Reported,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,6.69921385588,2.13790818275,19482,113,363,165432,52739,955959
119,5497,555512238,555512238,Josephine Seamount High Seas MPA,ABNJ,ABNJ,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Designated,2010,1,1,,Not Reported,0.0,19364.0,19401.0,19364.0,19401.0,Collaborative governance,OSPAR Commission/Contracting Parties; other Cas,Not Reported,Yes,Yes,Unknown,Unknown,5.69727980413,1.95770000062,19364,24,0,0,17045,466010
120,68808626,555624306,555624306_B,Caribe Mexicano Core Zone,MEX,MEX,Reserva de la Biósfera,Biosphere Reserve,National,Ia,Designated,2016,1,1,2018-11-30,Part,100.0,19228.0,19443.0,19326.0,19470.0,Federal or national ministry or agency,National Commission of Natural Protected Areas,Not Reported,Unknown,Unknown,Unknown,Unknown,11.0199272593,1.66092115693,19341,0,0,0,0,0
121,5155,354091,354091,Zeehan - Special Purpose Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2013-07-01,None,0.0,19896.0,19915.0,19896.0,19915.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Some Restrictions,Yes,Year-round,Permanent,7.36721790944,2.03702518054,18963,0,0,0,0,0
122,68819291,555711030,555711030,Beringiya,RUS,RUS,Beringiy,National Park,National,Ib,Designated,2013,1,1,,Not Reported,0.0,3321.0,3238.0,18194.0,18095.0,Federal or national ministry or agency,Federal Executive Authority and FSBI,Not Reported,Unknown,Unknown,Unknown,Unknown,26.0997487255,3.57085745479,18171,0,0,0,0,0
123,15019,555556907,555556907_A,Western Eyre - National Park Zone,AUS,AUS,Marine Park,Marine Park,National,II,Designated,2018,1,1,2018-07-01,All,17439.0,17437.0,17467.0,17437.0,17467.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,8.07447888263,1.78035986429,17437,0,0,0,0,0
124,68819182,555705293,555705293,Cordillera de Coiba,PAN,PAN,Área de Recursos Manejados,Area of Managed Resources,National,VI,Designated,2015,1,1,,Not Reported,0.0,17212.0,17297.0,17212.0,17297.0,Federal or national ministry or agency,Ministerio de Ambiente,Not Reported,Unknown,Unknown,Unknown,Unknown,4.874858917,1.40618386734,17223,1,0,0,18,2179
125,68808297,0,,Patagonia Azul,ARG,ARG,Reserva de la Biosfera,UNESCO-MAB Biosphere Reserve,International,,Designated,2015,0,1,,Not Reported,0.0,18060.83,0.0,31020.05,0.0,,"Dirección de Planificación, Ordenamiento y Uso Público. Secretaría de Turismo y Áreas Protegidas del Chubut",,Unknown,Unknown,Unknown,Unknown,13.2781975465,1.91799659593,16846,76,17383,332538,24860,770524
126,68818687,555643735,555643735,North Kimberley,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2016,1,1,,None,0.0,16693.0,16570.0,16693.0,16791.0,Sub-national ministry or agency,AU-WA_DBCA,Not Reported,Unknown,Unknown,Unknown,Unknown,47.3802555207,1.39844053878,16693,0,0,0,0,0
127,68813138,555625730,555625730,Cay Sal Marine Managed Area,BHS,BHS,Marine Managed Area,Marine Managed Area,National,Not Reported,Designated,2015,1,1,,Not Reported,0.0,0.0,16839.0,16771.0,16854.0,Not Reported,Not Yet Designated,Not Reported,Unknown,Unknown,Unknown,Unknown,5.55655744975,1.47981981423,16678,0,0,0,0,0
128,68808871,555556907,555556907_B,Western Eyre - Multiple Use Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2018,1,1,2018-07-01,None,0.0,40506.0,40603.0,40506.0,40603.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,7.08475969484,1.61002889875,16106,0,0,0,0,0
129,68810152,555557017,555557017,Hatton Bank,GBR,GBR,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Designated,2012,1,1,,Not Reported,0.0,15694.0,15673.0,0.0,15673.0,Collaborative governance,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,Unknown,Unknown,Unknown,Unknown,14.1586721239,2.44216603907,15723,11,0,0,1451,361937
130,14989,555556877,555556877_A,Eastern Recherche - National Park Zone,AUS,AUS,Marine Park,Marine Park,National,II,Designated,2018,1,1,2018-07-01,All,16073.0,15564.0,15598.0,15564.0,15598.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,9.785278909,1.55207025676,15564,0,0,0,0,0
131,68819064,555703720,555703720,Farquhar Archipelago (Marine) Area of Outstanding Natural Beauty,SYC,SYC,Area of Outstanding Natural Beauty,Area of Outstanding Natural Beauty,National,Not Reported,Designated,2020,1,1,,Not Reported,0.0,14482.0,14331.0,14482.0,14337.0,Federal or national ministry or agency,"Ministry of Environment, Energy And Climate Change",Not Reported,Unknown,Unknown,Unknown,Unknown,5.48807913728,1.18091519141,14337,0,0,0,0,0
132,68819184,555705295,555705295,Banco Volcán,PAN,PAN,Área de Recursos Manejados,Area of Managed Resources,National,VI,Designated,2015,1,1,,Not Reported,0.0,14201.0,14258.0,14201.0,14269.0,Federal or national ministry or agency,Ministerio de Ambiente,Not Reported,Unknown,Unknown,Unknown,Unknown,4.627371372,1.1727642645,14212,0,0,0,0,0
133,68818594,555624866,555624866,Inner Hebrides and the Minches,GBR,GBR,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Assigned,Designated,2017,1,1,,Not Reported,0.0,13813.0,13662.0,13813.0,13770.0,Collaborative governance,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,Unknown,Unknown,Unknown,Unknown,48.9768826834,2.05193605572,13814,149,108085,584494,121324,706000
134,5151,354087,354087_A,Murray - National Park Zone,AUS,AUS,Marine Park,Marine Park,National,II,Designated,2012,1,1,2013-07-01,All,12749.0,12749.0,12769.0,12749.0,12769.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,No,Restricted,Year-round,Permanent,7.14343415253,1.31801796534,12749,0,0,0,0,0
135,68807894,0,,Northeast Canyons and Seamounts,USA,USA,Marine National Monument,Marine National Monument,,,Designated,2016,1,1,2016-11-14,None,0.0,12725.0,12687.0,12725.0,0.0,National,National Marine Fisheries Service (NMFS),,Some Restrictions,No,Year-round,Permanent,6.7589292917,1.33334023994,12699,2,54,507,2201,6335
136,5814,555542491,555542491,"KKPN KEPULAUAN ANAMBAS DAN LAUT SEKITARNYA
",IDN,IDN,Taman Wisata Perairan,Marine Recreation Park,National,VI,Designated,2014,1,1,,Part,30328.0,0.0,12578.0,0.0,12713.0,Federal or national ministry or agency,"Ministry of Marine Affairs & Fisheries (MMAF), LKKPN Pekanbaru
",Not Reported,Unknown,Unknown,Unknown,Unknown,16.5857360495,1.0283529546,12642,0,0,0,0,0
137,68808966,555556867,,Arafura - Multiple Use Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,12421.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,5.29873518552,1.02377312144,12421,1,0,10,63,1328
138,68810119,555556968,555556968,Dogger Bank,GBR,GBR,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Designated,2011,1,1,,Not Reported,0.0,12331.0,12308.0,0.0,12308.0,Collaborative governance,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,Unknown,Unknown,Unknown,Unknown,5.41709422727,1.72573550348,12338,49,0,0,11123,412393
139,68813339,555622118,555622118,Palau,PLW,PLW,Artisanal Fishing Zone,Artisanal Fishing Zone,National,Not Reported,Designated,2015,0,1,2020-01-01,None,0.0,0.0,0.0,0.0,0.0,Not Reported,Bureau of Oceanic Fishery Management,Not Reported,Some Restrictions,Restricted,Unknown,Unknown,9.56798958506,0.959928341638,11717,0,0,0,0,0
140,68808974,555556882,,Great Australian Bight - Special Purpose Zone (Mining Exclusion),AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,11654.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,6.58199312306,1.11157336195,11654,0,0,0,0,0
141,68819080,555704263,555704263,Scott Islands Marine National Widllife Area,CAN,CAN,Marine National Wildlife Area,Marine National Wildlife Area,National,VI,Designated,2018,1,1,,Not Reported,0.0,11570.0,11537.0,11570.0,11565.0,Federal or national ministry or agency,"Canadian Wildlife Service, Pacific Region",https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/locations/scott-islands-marine.html,Unknown,Unknown,Unknown,Unknown,5.32525807345,1.47332139036,11566,47,18455,211852,11112,120427
142,68819102,555704308,555704308,Laurentian Channel Marine Protected Area,CAN,CAN,Marine Protected Area,Marine Protected Area,National,Not Reported,Designated,2019,1,1,,Not Reported,0.0,11579.0,11561.0,11579.0,11561.0,Federal or national ministry or agency,Fisheries And Oceans Canada,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-eng.html,Unknown,Unknown,Unknown,Unknown,7.33016818396,1.34580407662,11554,1,104,12507,8,2799
143,68811317,555514089,555514089,Campos Hidrotermais A Sudoeste Dos Açores,PRT,PRT,Área Protegida De Gestão De Recursos,Resource Management Protected Area,National,VI,Designated,2016,1,1,,Not Reported,0.0,0.0,11057.0,11617.0,11057.0,Federal or national ministry or agency,Not Reported,Not Reported,Unknown,Unknown,Unknown,Unknown,8.96436710253,1.11777777523,11036,17,1209,207548,968,303221
144,68808461,555621660,555621660,Qausuittuq National Park Of Canada,CAN,CAN,National Park,National Park,National,II,Designated,2015,1,1,2017-08-10,Not Reported,0.0,1177.0,962.0,11008.0,1513.0,Federal or national ministry or agency,Parks Canada Agency,http://www.pc.gc.ca/,Unknown,Unknown,Unknown,Unknown,40.1962455528,3.692215015,11024,0,0,0,0,0
145,14990,555556878,555556878,Eighty Mile Beach - Multiple Use Zone,AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2018,1,1,2018-07-01,None,0.0,10785.0,10841.0,10785.0,10841.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,7.07451523995,0.92799358374,10785,0,0,0,0,0
146,68808166,555571016,555571016,iSimangaliso Marine Protected Area,ZAF,ZAF,Marine Protected Area,Marine Protected Area,National,Not Assigned,Designated,2019,1,1,2019-08-01,Not Reported,0.0,10710.0,10708.0,10710.0,10708.0,Federal or national ministry or agency,iSimangaliso Wetland Park Authority,Not Reported,Some Restrictions,Unknown,Unknown,Unknown,4.6416926833,0.980818417456,10708,1,72,3772,60,3672
147,68813076,555624642,555624642,Hoburgs bank och Midsjöbankarna,SWE,SWE,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Designated,2016,1,1,,Not Reported,0.0,0.0,10488.0,10511.0,10485.0,Federal or national ministry or agency,Länsstyrelsen i Kalmar län,http://skyddadnatur.naturvardsverket.se/,Unknown,Unknown,Unknown,Unknown,6.28944705139,1.51868718233,10514,29,3267,93151,3965,170280
148,68808967,555556867,,Arafura - Special Purpose Zone (Trawl),AUS,AUS,Marine Park,Marine Park,National,VI,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,10460.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,4.17537329931,0.861174144538,10460,1,0,0,478,4758
149,68809016,555556906,,West Cape York - Habitat Protection Zone,AUS,AUS,Marine Park,Marine Park,National,IV,Designated,2012,1,1,2018-07-01,None,0.0,0.0,0.0,10114.0,0.0,Federal or national ministry or agency,AU-DOEE,https://parksaustralia.gov.au/marine/management/plans/,Unknown,Unknown,Unknown,Unknown,5.24664020855,0.836967100185,10114,0,0,0,0,0
150,68808243,0,,Cagayancillo,PHL,PHL,Coastal Marine Area,Coastal Marine Area,National,,Designated,2016,1,1,2016-02-22,None,0.0,10133.4,10085.736513,10133.4,0.0,,,,Yes,Unknown,Unknown,Unknown,4.28452139724,0.83105083687,10094,0,0,0,0,0
